benchmark_set,algorithm,FM,AM,AR,FM_std,AM_std,AR_std
myOwn_3hearts,hierarchy_complete,0.5730553756164534,0.3878414483641656,0.3565898766864784,0.5301761028778116,0.31743600371551284,0.2812482397159984
myOwn_sinAndCos,hierarchy_complete,0.5115399895694941,0.009342493927172927,0.012471648043795386,0.5373493975903615,0.05595073502227912,0.07654939759036146
other_iris,hierarchy_complete,0.4156947027165243,0.1207885270083246,0.04406388967209306,0.5811624290394045,0.3559354694813917,0.3633803267670545
other_iris5,hierarchy_complete,0.5613019064217509,0.250020133996947,0.11798128342245988,0.5745573134964381,0.301672451288902,0.2236251950078003
other_square,hierarchy_complete,0.6523419466936178,0.28068295605640864,0.16755678705653862,0.5682556018137541,0.07419239899598365,0.08445598979558275
sipu_a1,hierarchy_complete,0.920414969018866,0.9495075515822022,0.9162284295009432,0.6663222302930204,0.8382940375404947,0.6413114771693004
sipu_a2,hierarchy_complete,0.9110337779323048,0.9515010193146152,0.9084154805260766,0.9129787522957734,0.9489345465998432,0.9104304586037164
sipu_a3,hierarchy_complete,0.9194996227367004,0.9582065836342148,0.9178556297352152,0.9166449319052452,0.9572025137554674,0.9149388577715862
sipu_aggregation,hierarchy_complete,0.8237319348193834,0.8693226062853049,0.7744200118037944,0.8055101744066067,0.8503827958745931,0.752787396587867
sipu_compound,hierarchy_complete,0.8547345675837809,0.8029603036762741,0.7928781404685332,0.792606169328865,0.7310092141808586,0.7205213158478839
sipu_d31,hierarchy_complete,0.9262271201547904,0.9495385065766884,0.9237900239742176,0.8768508308586396,0.93071283783867,0.8726873522579645
sipu_flame,hierarchy_complete,0.6230363899472076,0.0709768344925367,-0.04223015526860836,0.6624638726257829,0.3885555789474772,0.288937646689094
sipu_jain,hierarchy_complete,0.9217630822902012,0.6956462195249559,0.7791940209231208,0.7904496301828084,0.5041511826361034,0.5146169826822441
sipu_pathbased,hierarchy_complete,0.5954151579252184,0.4089710454670804,0.3455207247421115,0.5967643752824325,0.4361429090109705,0.3917482073897595
sipu_r15,hierarchy_complete,0.9799231991866152,0.9832612249203714,0.9785242588988964,0.9799231991866152,0.9832612249203714,0.9785242588988964
sipu_s1,hierarchy_complete,0.9729921164299316,0.9768186522268796,0.971062167115048,0.9116415207072622,0.954865620618088,0.9040858661954888
sipu_s2,hierarchy_complete,0.8065990073400509,0.8775804549584825,0.7908725185518137,0.7086243820949182,0.8368070172217447,0.6832445284783876
sipu_s3,hierarchy_complete,0.5483650498829702,0.7046711665551301,0.5092503854015455,0.5488725324635995,0.6992436921803215,0.5089364365735192
sipu_s4,hierarchy_complete,0.4680449793884167,0.616606642618205,0.41711871391559424,0.5408542310686859,0.6699144303701413,0.4996698926486399
sipu_spiral,hierarchy_complete,0.3384990712830089,0.0009961297269130427,0.0018410376994193066,0.3634884014759472,0.0073730729951723,0.002924309018761309
sipu_unbalance,hierarchy_complete,0.7749342609289066,0.8168817119302436,0.6124663429125057,0.7740738471134739,0.7890377395994229,0.6109254804551543
wut_cross,hierarchy_complete,0.5969727824366217,0.4757159653019791,0.3587307321101674,0.4435318080228245,0.2322120914959225,0.0867285605065267
wut_smile,hierarchy_complete,0.6471704948686618,0.6885718739040474,0.4992935598240686,0.6177102577145139,0.7094066475692301,0.4743045613530259
wut_twosplashes,hierarchy_complete,0.6094559464721342,0.16559384948916475,0.21895207822818247,0.6793208443300561,0.06720432611457569,0.0068198248044676535
wut_x1,hierarchy_complete,1.0,1.0,1.0,1.0,1.0,1.0
wut_x2,hierarchy_complete,0.5506591463162214,0.3910968402231981,0.20905480613510816,0.5506591463162214,0.3910968402231981,0.20905480613510816
wut_x3,hierarchy_complete,0.8055319339147842,0.7687004070067928,0.7319805167450617,0.7679882554529274,0.7479583057917806,0.6748722991020124
wut_z1,hierarchy_complete,0.4574519721072298,0.2552603011711934,0.1808224632802684,0.5021074241792876,0.26978888010499696,0.2485216317686857
wut_z2,hierarchy_complete,0.6230788403287614,0.6381571889965082,0.4413882974934681,0.5351449694432064,0.472949354559726,0.30256908333550725
wut_z3,hierarchy_complete,0.9535290245225772,0.9269833151114968,0.9331990919261192,0.9867576332256592,0.9690424082882172,0.9811001584016208
fcps_atom,hierarchy_average,0.6702797904201387,0.09503277032158693,0.014722635937733668,0.6556732616897741,0.14442695571681002,0.03857788922083959
fcps_chainlink,hierarchy_average,0.7050982800356701,0.42034613727174697,0.3594614089925462,0.6489130930979651,0.2595432313221984,0.1423576393858155
fcps_engytime,hierarchy_average,0.6500239102249518,0.14854796741944354,0.051013826342742916,0.6740182958618405,0.0724242994056552,0.010465131942885866
fcps_hepta,hierarchy_average,0.6493291542101928,0.8054866948619456,0.5423625156116074,0.6493291542101928,0.8054866948619456,0.5423625156116074
fcps_lsun,hierarchy_average,0.6043770515988833,0.4962289072961926,0.3610885307519632,0.6227797836581652,0.5260115379848129,0.39754668787568254
fcps_target,hierarchy_average,0.6576649848154996,0.3301569382299379,0.1455921882157087,0.6576649848154996,0.3301569382299379,0.1455921882157087
fcps_tetra,hierarchy_average,0.7067441521779239,0.6797865234105872,0.6048772404650777,0.7067441521779239,0.6797865234105872,0.6048772404650777
fcps_twodiamonds,hierarchy_average,0.9974968750146852,0.9873803840988732,0.9949999922070802,0.9850768772931456,0.9436830443543672,0.9701876963756496
fcps_wingnut,hierarchy_average,1.0,1.0,1.0,1.0,1.0,1.0
graves_dense,hierarchy_average,0.9604363243777287,0.8777618892194929,0.9212046771339222,0.9604363243777287,0.8777618892194929,0.9212046771339222
graves_fuzzyx,hierarchy_average,0.7954794427456862,0.8008375292715676,0.7426002274320629,0.7954794427456862,0.8008375292715676,0.7426002274320629
graves_line,hierarchy_average,0.6034887344404953,0.14177546879983732,-0.066108799452802,0.6034887344404953,0.14177546879983732,-0.066108799452802
graves_parabolic,hierarchy_average,0.7993750372517534,0.4916651164953704,0.5986750085638649,0.7978095015112847,0.4885469417029954,0.5955798617754026
graves_ring,hierarchy_average,0.6466934528151368,0.2336718530381467,0.1137456429403359,0.6466934528151368,0.2336718530381467,0.1137456429403359
graves_zigzag,hierarchy_average,0.5085964758745157,0.3352340150225264,0.12919335235180396,0.5466995740690629,0.4043070295717158,0.20717241444702172
myOwn_3distr,hierarchy_average,1.0,1.0,1.0,1.0,1.0,1.0
myOwn_3hearts,hierarchy_average,0.5368300126201262,0.1788936095650868,0.045723966466160185,0.5365037236336294,0.2296570370925824,0.07548973055368205
myOwn_sinAndCos,hierarchy_average,0.5052839853135165,0.007057550168704067,0.009690875553218528,0.6248268086442181,0.18974855165294746,0.2485046235971403
other_iris,hierarchy_average,0.6949144967511923,0.571570259493834,0.4986405491880849,0.7464032805779565,0.6683848926022897,0.537807593632331
other_iris5,hierarchy_average,0.6466588999672371,0.382313863894708,0.17220343171323116,0.6842601655454573,0.3401454637999475,0.1474343785377668
other_square,hierarchy_average,0.6500239055410559,0.2674179945864963,0.15156673548870206,0.6569733438875162,0.1398307132191549,0.03576806870753612
sipu_a1,hierarchy_average,0.9288248484100884,0.9507324758125464,0.9250943103206616,0.8984069164848095,0.9456468077768159,0.8919314169959138
sipu_a2,hierarchy_average,0.9356106662864341,0.9603935137366876,0.9337253051435004,0.9446661706569068,0.9647572651098284,0.9430460172814036
sipu_a3,hierarchy_average,0.9446507020801282,0.9674847920064452,0.9435266923673952,0.9449041058824448,0.9676481116796399,0.9437852209482582
sipu_aggregation,hierarchy_average,1.0,1.0,1.0,0.993203718025804,0.9867504398744344,0.991326806021418
sipu_compound,hierarchy_average,0.8615784103781575,0.8314283190662027,0.8030256233087629,0.8610224736068619,0.8108585825361289,0.8029649973048826
sipu_d31,hierarchy_average,0.9103766519006976,0.9494188470453084,0.906891828846128,0.9284069022435169,0.950420564468294,0.926041867517886
sipu_flame,hierarchy_average,0.731069999812516,0.4814389694283013,0.4421506504554051,0.6912540460562661,0.40239874336703707,0.35697144499416433
sipu_jain,hierarchy_average,0.9217630822902012,0.6956462195249559,0.7791940209231208,0.7904496301828084,0.5041511826361034,0.5146169826822441
sipu_pathbased,hierarchy_average,0.6526313041537177,0.5175639720465449,0.4436423035287233,0.6663737830721304,0.5513307512098721,0.4717440461007611
